,corr,abs_corr
wheat_weekly_rvb,0.6060097498505853,0.6060097498505853
wheat_weekly_rvg,0.6028853986255464,0.6028853986255464
wheat_monthly_rv,0.5958039331096042,0.5958039331096042
wheat_monthly_rvb,0.5949619031963268,0.5949619031963268
wheat_monthly_rvg,0.5836637365165187,0.5836637365165187
wheat_seasonal_rvb,0.5455776967992939,0.5455776967992939
wheat_seasonal_rv,0.544150448906574,0.544150448906574
wheat_seasonal_rvg,0.5347905228144029,0.5347905228144029
wheat_seasonal_trd,0.528366719764635,0.528366719764635
wheat_seasonal_tru,0.5180986055225466,0.5180986055225466
wheat_seasonal_jumps,0.4896426236675497,0.4896426236675497
wheat_monthly_trd,0.4813884013952453,0.4813884013952453
wheat_monthly_tru,0.45702776205120593,0.45702776205120593
wheat_weekly_trd,0.4398488843203913,0.4398488843203913
corn_weekly_rvg,0.43648885391953823,0.43648885391953823
corn_weekly_rv,0.43582954241445876,0.43582954241445876
wheat_monthly_jumps,0.4248209524084565,0.4248209524084565
corn_weekly_rvb,0.4226357966794404,0.4226357966794404
wheat_weekly_tru,0.41514257657343734,0.41514257657343734
soybeans_weekly_rvg,0.3880651667231402,0.3880651667231402
corn_monthly_rvg,0.3796805203458159,0.3796805203458159
soybeans_weekly_rv,0.3795894460000234,0.3795894460000234
corn_monthly_rv,0.3736881294646202,0.3736881294646202
corn_monthly_rvb,0.3679947616616549,0.3679947616616549
wheat_weekly_jumps,0.36571037598399264,0.36571037598399264
soybeans_weekly_rvb,0.35284139815599525,0.35284139815599525
ssta_lanina,-0.3527562443109758,0.3527562443109758
soybeans_monthly_rvg,0.3250533036822821,0.3250533036822821
corn_monthly_trd,0.3231211737139755,0.3231211737139755
soybeans_monthly_rv,0.31470629570385306,0.31470629570385306
corn_weekly_tru,0.3071182887733513,0.3071182887733513
corn_weekly_trd,0.30436150340488205,0.30436150340488205
corn_monthly_tru,0.3030129081548995,0.3030129081548995
soybeans_weekly_tru,0.30264276166017684,0.30264276166017684
soybeans_monthly_rvb,0.30239431140840267,0.30239431140840267
corn_seasonal_rvg,0.2885645072744227,0.2885645072744227
corn_seasonal_rv,0.27796783338116077,0.27796783338116077
epu_financial_reg,0.27556350646819433,0.27556350646819433
corn_seasonal_rvb,0.2747890316096058,0.2747890316096058
SOI_index,0.2685871778623942,0.2685871778623942
soybeans_monthly_tru,0.26501678824558117,0.26501678824558117
frbsf_sentiment,-0.26465017301862337,0.26465017301862337
WTI_Index,0.2642281538845954,0.2642281538845954
soybeans_seasonal_rvg,0.2636452186491066,0.2636452186491066
corn_seasonal_trd,0.25717826339717703,0.25717826339717703
soybeans_seasonal_rv,0.2474707673582654,0.2474707673582654
soybeans_weekly_trd,0.23948016954643223,0.23948016954643223
corn_seasonal_tru,0.237840841727735,0.237840841727735
soybeans_monthly_trd,0.23763047213217686,0.23763047213217686
soybeans_seasonal_tru,0.2344618547311612,0.2344618547311612
soybeans_seasonal_rvb,0.23426773132954226,0.23426773132954226
epu_monetary,0.21212972239797742,0.21212972239797742
epu_trade,-0.2001466300001552,0.2001466300001552
soybeans_seasonal_trd,0.190230212605898,0.190230212605898
soybeans_weekly_jumps,0.1436431261292754,0.1436431261292754
epu_sovereign_debt,0.1369732689480814,0.1369732689480814
soybeans_monthly_jumps,0.1322497151602865,0.1322497151602865
NAO_index,-0.12849731597039574,0.12849731597039574
corn_seasonal_lev,0.12817416972953624,0.12817416972953624
soybeans_seasonal_lev,0.12665146331875882,0.12665146331875882
epu_regulation,0.12641040161751682,0.12641040161751682
wheat_seasonal_lev,-0.1147283533262428,0.1147283533262428
soybeans_seasonal_rsk,0.11470012875470546,0.11470012875470546
ssta_elino,-0.10897829974316482,0.10897829974316482
corn_monthly_jumps,0.099084383431985,0.099084383431985
corn_seasonal_rsk,0.09841184084252154,0.09841184084252154
corn_weekly_jumps,0.09420517031070691,0.09420517031070691
Stock_Uncertainty,0.09390661262389434,0.09390661262389434
soybeans_seasonal_jumps,0.09367565947501985,0.09367565947501985
soybeans_seasonal_rku,-0.08648142560917073,0.08648142560917073
dry,0.08217917941230164,0.08217917941230164
Text_Climate_Anomaly,-0.07859156681219925,0.07859156681219925
corn_monthly_rku,0.07707847296684223,0.07707847296684223
wet,0.07144366685100023,0.07144366685100023
corn_weekly_rku,0.07108670850146566,0.07108670850146566
epu_healthcare,-0.06933520048254849,0.06933520048254849
wheat_monthly_lev,-0.06839383717946255,0.06839383717946255
epu_index,0.06734420789022431,0.06734420789022431
epu_overall,0.055471756883584765,0.055471756883584765
wheat_weekly_rku,0.05474924176665449,0.05474924176665449
Unnamed: 0,0.0546065076332243,0.0546065076332243
Unnamed: 0.1,0.0546065076332243,0.0546065076332243
soybeans_monthly_lev,0.053280058900386215,0.053280058900386215
wheat_seasonal_rsk,-0.05323631337183206,0.05323631337183206
soybeans_monthly_rsk,0.05221252540317583,0.05221252540317583
wheat_monthly_rku,0.04600002227249073,0.04600002227249073
wheat_seasonal_rku,0.04560272790084838,0.04560272790084838
corn_monthly_lev,0.04428404016451233,0.04428404016451233
epu_national_security,0.04346482254204623,0.04346482254204623
soybeans_weekly_rsk,0.03880822230274501,0.03880822230274501
epu_entitlement,-0.03445572978050413,0.03445572978050413
soybeans_monthly_rku,-0.03380700834036622,0.03380700834036622
wheat_monthly_rsk,-0.03280860790513718,0.03280860790513718
soybeans_weekly_lev,0.032338360749129075,0.032338360749129075
corn_weekly_lev,0.03224341299639259,0.03224341299639259
DJIA_Index,0.02815343466243547,0.02815343466243547
wheat_weekly_lev,-0.02633855929224103,0.02633855929224103
corn_weekly_rsk,0.02583561396057428,0.02583561396057428
corn_monthly_rsk,0.025369603331649268,0.025369603331649268
wheat_weekly_rsk,-0.015144151383236175,0.015144151383236175
corn_seasonal_jumps,0.013186260467514626,0.013186260467514626
epu_fiscal,0.00968667464553204,0.00968667464553204
corn_seasonal_rku,0.009505866509751036,0.009505866509751036
soybeans_weekly_rku,0.008238205588693466,0.008238205588693466
epu_taxes,0.005554054488380152,0.005554054488380152
epu_govt_spending,0.0037921001303974538,0.0037921001303974538
Broad_Dollar_index,0.0018357716656444288,0.0018357716656444288
