Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,-0.01,0.06,0.57,-0.20,1.68,-1.21,-2.15,-0.19,1.51,-1.03,-0.02,-1.93
2010,-1.11,-1.98,-0.88,-0.72,-1.49,-0.82,-0.42,-1.22,-0.79,-0.93,-1.62,-1.85
2011,-0.88,0.70,0.61,2.48,-0.06,-1.28,-1.51,-1.35,0.54,0.39,1.36,2.52
2012,1.17,0.42,1.27,0.47,-0.91,-2.53,-1.32,-0.98,-0.59,-2.06,-0.58,0.17
2013,0.35,-0.45,-1.61,0.69,0.57,0.52,0.67,0.97,0.24,-1.28,0.90,0.95
2014,0.29,1.34,0.80,0.31,-0.92,-0.97,0.18,-1.68,1.62,-1.27,0.68,1.86
2015,1.79,1.32,1.45,0.73,0.15,-0.07,-3.18,-0.76,-0.65,0.44,1.74,2.24
2016,0.12,1.58,0.73,0.38,-0.77,-0.43,-1.76,-1.65,0.61,0.41,-0.16,0.48
2017,0.48,1.00,0.74,1.73,-1.91,0.05,1.26,-1.10,-0.61,0.19,-0.00,0.88
2018,1.44,1.58,-0.93,1.24,2.12,1.09,1.39,1.97,1.67,0.93,-0.11,0.61
2019,0.59,0.29,1.23,0.47,-2.62,-1.09,-1.43,-1.17,-0.16,-1.41,0.28,1.20
2020,1.34,1.26,1.01,-1.02,-0.41,-0.15,-1.23,0.12,0.98,-0.65,2.54,-0.30
2021,-1.11,0.14,0.73,-1.43,-1.24,0.77,0.03,-0.28,-0.21,-2.29,-0.18,0.29
2022,1.08,1.68,0.77,-0.36,0.71,-0.12,-0.09,1.47,-1.61,-0.72,0.69,-0.15
2023,1.25,0.92,-1.11,-0.63,0.39,-0.58,-2.17,-1.16,-0.44,-2.03,-0.32,1.94
2024,0.21,1.09,-0.21,-0.78,-0.44,-0.09,1.46,0.63,-1.43,-0.38,-0.23,1.21
2025,-0.52,1.60,0.30,0.18,0.49,0.70,0.48,0.26,-0.80,-0.96,-0.78,-0.65
